,city,date,id,rating,state,text,username
0,Washington,2018-07-17,6kTdd4Ce_gsj7HFbY_JjtQ,5, DC,"WOW. Everything about this restaurant was AMAZING. 100% recommend. Service: Service was outstanding! Our server answered all of our questions, was extremely patient and knowledgable. Additionally, we were here for our anniversary and they printed a menu with ""Happy Anniversary"" on it, which I thought was a very cute!Food: Everything from the appetizers to the desserts were so rich, flavorful, and delicious. One thing to note is the entrees do not come with sides, so make sure you order some sides in addition to  your main course. Drinks: They have a great selection of beers, cocktails, and wine. I had the ""soo good"" cocktail and it was the perfect mix of tasty + strong. Atmosphere: Really cool open kitchen atmosphere. The restaurant feels very modern, airy, and open.This is an amazing restaurant - great food, great service, great atmosphere! 100% TRY.",Molly M.
1,Washington,2018-07-24,KWBop4Gu_2TNlmOjmKw0HA,2, DC,"Birthday dinner disappointment...starting off with where we were seated. I was hoping to get a table closer by the open kitchen and enclosed in the glass walls rather than away from the center of action. Secondly, we were never given a complimentary dessert from their menu which seems to be a point made by other fellow Yelpers...Also! Menu prices were increased and not reflective of the prices on their online menu! When I asked our waitress why the prices I checked yesterday (I scoured their website and did a bit of research before coming) were significantly higher than what was on the menu, her response was that this was the current price...and that was it? Also when I asked the waitress about whether we could order our food ""family style"" she didn't really help us out, I felt like I was asking for her guidance given it was a large group but instead left feeling slightly abandoned. Also...they forced us to tip 20%?? I don't mind at all giving credit where credit is due (in fact I encourage it) but I thought maybe it would have been better had we been given the choice of how much to tip. While my friends and I were finishing up our conversations they told us we had to leave around 8:30pm because another party was coming. I understand that they have to book their tables and establish finite times for parties but they could have executed this a bit better given we were finishing up and all spent + $75 per person on the meal. Moving onto the food...I'll be fair I had just dined at another Michelin establishment not too long ago, so alright maybe my taste buds were a bit spoiled, but given this place also has a Michelin Star I didn't understand the hype? We ordered the Wood Oven-Roasted Bone Marrow (good), Braised Beef Rib (soft meat, but somewhat basic flavorings), Moulder Duck Breast, (Rhubarb-Ginger Marmalade sauce was good, but duck was slightly chewy), Wood Oven-Roasted Whole Fish (good but a little plain inside), Rockfish (wasn't on menu, pretty good), Hand-Cut BDT fries (good, aioli is on point!), Cornbread (good but for $13 not the best I've had), and last but not least the Roasted Wild Mushrooms (a little too salty, not much complexity in flavor).Favorite part of experience was the pretty and open/airy atmosphere (beautiful, clean, glass walls and hardwood) but the average/""good but not great"" service + likewise ""good but not great"" tasting food left more to be desired. Maybe I came in expecting too much but for the $$$ you pay and the occasion it was, I wanted more for my group and we didn't get that. Overall TLDR; I left unsatisfied with the ""value"" that my party of 9 received. It was like minor disappointment after disappointment...for a birthday it just didn't feel as special like I've seen from other Yelp reviews. Not sure I'd recommend in terms of Michelin dining because when I think Michelin I am thinking it should be memorable, in a good way, especially for special occasions, so overall I left feeling sorely disappointed. My experience did not live up to the 4/5 Star review experiences others had, and given the hefty price tag my stomach was left wondering what went wrong.",Michelle W.
2,Northwest Washington,2018-07-24,laRraRcFSpMkL6a-i3vnJA,4, Washingto,"Blue Duck Tavern was a place that I wanted to try ever since I moved to DC.  My wife and I went here for an anniversary and we were not disappointed.  The bone marrow appetizer wasn't for us but everything else was of the highest quality.  The wait staff was also incredible.  When we experimented by ordering a unique dessert that was a little too tart for our liking, the wait staff immediately brought us another dessert without being asked and without charging us.  That attention to detail and above and beyond customer service left us highly impressed with our experience.  Highly recommend this place for a special occasion.",R D.
3,Arlington,2018-07-04,L3SdS-vlVM6V-w01csE6bg,4, VA,"A very long overdue review -My boyfriend and I first tried Blue Duck Tavern back in August 2015 (before they got their Michelin star!) and we loved our experience then, and to this day, we are still huge fans.It seems that the menu changes seasonally which allows the restaurant to showcase a variety of local ingredients. What really makes BDT stand out from other dining restaurants is really the attention to detail(s). Two items that we loved, but is sadly not on the current menu, were the dry aged steak for 2 - but if it does come back, I highly recommend this - and the foie gras creme brûlée*. I added the asterisk to the creme brûlée because though delicious, it is incredibly rich and too much for two to share - I recommend this for larger groups. Some of the other items on the dinner menu that we love include the wood oven-roasted bone marrow, pan-seared scallops, and moulard duck breast. The seasoning and pairings seem to change slightly with the poultry or shellfish, but the seared scallops in uni emulsion topped with caviar, black garlic chips, and beet coins (January 2018) is still one of my favorite dishes to date.The brunch menu is actually what I love most about BDT. This may be my favorite brunch place in the entire city (pretty bold for a brunch fanatic like myself). I frequently bring guests here and it is always a hit. Again, the menu changes seasonally, but upon my latest trip (June 2018), here are a few of my favorites: Short Rib Hash (this seems to stay on the menu the handful of times I have done brunch here), Hot-Fried Chicken Biscuit, Lemon French Toast, and Pecan Sticky Buns (also seems to be a keeper season after season). Even my boyfriend, who is not typically a fan of nuts in his food, loved the Pecan Sticky Buns. BDT always has unique pairings of sweet and savory, and to me, that's part of the appeal to trying something new.Great food and great service. Highly recommend booking in advance, especially for a large party, but you won't be disappointed.",Vicky L.
4,New York,2018-06-22,7Zd8QrDDi4fkFqwanHfppQ,3, NY,"We came for Father's day brunch. The restaurant was very nice, spacious, and accommodating for my 8-month old. Service on that day was very slow, something that I wouldn't expect for a Michelin-star restaurant. We were very thirsty from the weather and water was left unfilled, one of the side dishes they completely forgot about, and a drink order was incorrect. The food had some standout dishes I found to be very good: the crab cake, was one of the more meatier interpretations I've ever had that I enjoyed; the coconut tapioca was beautifully presented and had nice flavor to replicate the carrot cake. Unfortunately the main brunch dishes we had - the hot chicken biscuit and the short rib hash, were pretty unmemorable. The hot chicken tasted like sweet/sour chicken you'd find at an Americanized Chinese Restaurant, a taste I was not expecting, with an egg that was cooked far too long. The short-rib hash was nothing special, the same version you can find at most brunch restaurants. I would try the dinner, as I'm sure that's what the accolades were based on. The brunch, I would pass for another alternative.",Lu H.
5,Hoboken,2018-07-11,zIBmBM2-9BujKpp2anb-eg,5, NJ,"My Husband and I go out to dinner several times a week like any other millennial couple ;-) We're from New York and suffice it to say we have a lot of options from the high-end seafood restaurant down to the hole-in-the-wall Ramen Bar. I would not quite call us food snobs so we'll settle on ""a particular pallet"" as the label. That said, this was without a doubt the best meal we've ever had. The entire experience was immaculate. The service was exquisite, our waiter was attentive, courteous, knowledgeable about the menu and was capable of making actual recommendations (not the ""this is my favorite"" or ""everything's good here"") along with a witty conversation that kept us laughing. The food was perfectly prepared and his descriptions were spot on. Though pricey, the experience is absolutely worth it for any special occasion. The next time we visit the city, dinner at this restaurant is an absolute must. While many people turn out to be revenge posters or the owe the manager a favor, this post is neither. If you are celebrating a special occasion and want a memorable evening, go to the Blue Duck Tavern.",Jerica B.
6,Washington,2018-07-17,B2LAbyCI2XWnxX9m0aj7CQ,5, DC,"We came here for brunch and are visiting again for dinner soon. I will update review then. But brunch... was so satisfying. We tried some savory items and some sweet, and are glad we did. The ambiance was relaxing, the service was impeccable, and our server made good recommendations, which we always appreciate. The bone marrow appetizer was so rich and flavorful, and the pancakes were not just everyday pancakes. They were special. The fried chicken biscuit also hit the spot. Coffee was great. No complaints. Can't wait to try dinner!",Stefanie B.
7,Alexandria,2018-07-08,NdAZFEGytqQhmTeVkuffJw,4, VA,"A terrific experience last night. Seated promptly and was fortunate enough to have Tibor as our waiter. He succinctly reviewed the menu, aptly explained (and allowed us to sample) wines that we were interested in and paced the courses perfectly. For appetizers, we selected the bone marrow (which was a first for me) and the seafood risotto). Both were excellent and the bone marrow was large enough to split among our party of four.For our entrees we went full spectrum. Filet Mignon, braised short ribs, pork chop and duck breast. Aka carte options included horseradish potato purée, Blue Duck Tavern (BDT) fries and roasted mushrooms. I don't think we had a bad bite amongst all of the aforementioned cuisine. The portions were perfect, obvious attention to detail in the presentation and flavor profiles. If I had to pick the winners, it would be the braised short ribs (surprisingly lean, so tender) with a perfect zing of balsamic reduction. Believe it or not, the BDT fries were exceptional. These things were beyond steak fries into a perfectly formed rectangles, lightly crunchy exterior with mashed potato-like interior. One could be split into two they come 6 to an order. Add in some wine and a cocktail and you'll be pushing the $150 mark before tip for two. But on a relaxed Saturday evening we were made to feel as though we were the only ones in the restaurant. A memorable experience!",Jason M.
8,Ann Arbor,2018-06-14,bl52lwF9fuKa1-3IwIpDuw,5, MI,"Visited a friend in DC and of course had to seek out some crab cakes. Stayed at the Westin, so Blue Duck Tavern was right across the street. Michelin star in 2017 and 2018 so we had to check it out. Stop in for a light lunch and it did not disappoint although service was slightly above meh. We ordered the two crab cake appetizer ($32), two salads (baby gem lettuce and the spring pea salad ($16 each)) and the duck leg confit ($26). Lets start with the crab cakes. Nice crust on the top of a beautifully light, moist cake. The crab was glistening. Its how a crab cake should be done. Not a dense ball of breadcrumbs. The cake was beautiful and garnished with lots of delicately cut chives. A top the cake was some smoked trout roe which give a nice little pop of salt n smoke. The dish could've used a little more of the lobster aioli, but thats basically the only ""complaint"" I can cone up with. The dish came with a very vibrant side salad with rainbow chard/stems, a crisp type of lettuce and thinly sliced radishes. It was nice to go back n forth between the freshness of the salad and the crab.The Baby gem salad was great. It was dressed with an excellently balanced cured egg dressing. Salty, tangy, kind of creamy but not to creamy!! Had some pickled onions and caramelized ramps. The hearts of romaine were very crisp. The salad was simple yet elegant. Could've used A few more ramps and onions but overall it was very nice. My wife ordered the spring pea salad which came with snap peas in the pod, some peas out of the pod along with pea shoots. The salad was served atop of a honey almond butter and some crispy pancetta. Very unique salad but really interesting flavor combination. Thoroughly enjoyed it and would recommend. Never really had anything like it!The duck confit leg was fall off the bone...as duck confit should. The skin was crisp and the dish was visually stunning. The rhubarb marmalade added a nice note of sweetness and tang and the side roasted vegetables were delish. I picked up the bones and ate them with my hands until they were bare. Really really good. You know you are going to pay for a meal like this. So if you are going to eat there and then complain about the bill, go somewhere else. Lots of flavor and high quality chow! Definitely give it a go if you have the chance!",Eric N.
9,Arlington,2018-05-14,RVaauMM-f2vFUYpGlCYJ2Q,5, VA,"I've been wanting to try Blue Duck Tavern for the longest time and finally got around to visiting for my birthday this past weekend.Just a tip, MAKE RESERVATIONS EARLY. I made a reservation nearly a month in advance and most time slots were already taken. We managed to get an 8:15pm reservation on a Friday night. It was pretty easy to find and upon arriving, all the hostesses said happy birthday and were very friendly! We were seated promptly and our server, who was very professional and friendly, greeted us. He also knew it was my birthday and didn't forget throughout the whole meal.To start, my boyfriend got an old fashioned and I got the Carry Me Away cocktail. I thought it was going to be tart but it was absolutely delicious and refreshing. My boyfriend also really enjoyed his drink as well.For food, you're encouraged to get a couple different dishes as the portions are a bit smaller. You do get bread before your food so go easy so you leave some room! I made the mistake of eating too much bread. We got:Bone Marrow: this was my first time trying bone marrow and only because others were raving about it. It was surprisingly pretty good, a tad bit salty but the pretzel bits added a nice contrasting crunch. The texture bothered me a bit but that's not BDT's fault.Butcher's Cut: absolutely delicious. We got it medium rare and it was one of the few steaks that was actually cooked properly. My boyfriend is a huge steak fan and he loved it so it got his stamp of approval too!Duck Breast: by far, my favorite dish we had all night. It was cooked perfectly and practically melted in your mouth and fell off the bone. I wish I could eat this every day!BDT Fries & Corn Bread: both delicious! We didn't have much of these as we were stuffed from the other entrees but definitely suggest the fries!I was so stuffed by the end of the meal but had to get dessert. Our waiter suggested the Coconut Tapioca if we were looking for something on the lighter side (which we were after all that food)! The dessert came out with a candle and a ""happy birthday"" message written on the plate which was such a nice touch! The dessert itself was delicious, very light and not too filling. It had many components to it, like saffron, carrot cake and nuts.At the end of the meal, we were also given a bag of complimentary sugar cookies and a happy birthday menu signed with the date and birthday wishes from the BDT staff. The sugar cookies were some of the best I've ever had, perfectly soft and airy. Th signed menu was really nice, since the menus are seasonal so it gives you a little memory to take away.Overall, everything from the service to the food was divine. I'd highly recommend stopping by for a special occasion, you won't be disappointed!",Katie W.
